"customerkey","name","gender","datefirstpurchase","addressline1","city","state","country","salesterritorykey"
11030,"Bethany G Yuan","F","2020-02-05","636 Vine Hill Way","Cloverdale","South Australia","Australia",9
11031,"Theresa G Ramos","F","2020-02-01","6465 Detroit Ave.","Matraville","New South Wales","Australia",9
11032,"Denise NULL Stone","F","2020-02-18","626 Bentley Street","Melbourne","Victoria","Australia",9
11033,"Jaime NULL Nath","M","2020-02-15","5927 Rainbow Dr","Milsons Point","New South Wales","Australia",9
11034,"Ebony NULL Gonzalez","F","2020-02-01","5167 Condor Place","North Sydney","New South Wales","Australia",9
11035,"Wendy NULL Dominguez","F","2020-02-06","1873 Mt. Whitney Dr","Cranbourne","Victoria","Australia",9
11036,"Jennifer C Russell","F","2022-01-22","3981 Augustine Drive","National City","California","United States",4
11037,"Chloe M Garcia","F","2022-01-20","8915 Woodside Way","Cliffside","British Columbia","Canada",6
11038,"Diana F Hernandez","F","2020-02-07","8357 Sandy Cove Lane","Lavender Bay","New South Wales","Australia",9
11039,"Marc J Martin","M","2020-02-07","9353 Creekside Dr.","Wollongong","New South Wales","Australia",9
11040,"Jesse NULL Murphy","M","2022-04-03","3350 Kingswood Circle","Tacoma","Washington","United States",1
11041,"Amanda M Carter","F","2022-01-14","5826 Escobar","Glendale","California","United States",4
11042,"Megan J Sanchez","F","2022-01-21","1397 Paraiso Ct.","Los Angeles","California","United States",4
11043,"Nathan M Simmons","M","2022-05-08","1170 Shaw Rd","Glendale","California","United States",4
11044,"Adam L Flores","M","2020-02-28","6935 Candle Dr","Hervey Bay","Queensland","Australia",9
11045,"Leonard G Nara","M","2022-04-10","7466 La Vista Ave.","Matraville","New South Wales","Australia",9
11046,"Christine NULL Yuan","F","2020-02-06","2356 Orange St","Lavender Bay","New South Wales","Australia",9
11047,"Jaclyn D Lu","F","2020-02-03","2812 Mazatlan","Geelong","Victoria","Australia",9
11048,"Jeremy NULL Powell","M","2020-02-10","1803 Potomac Dr.","Sunbury","Victoria","Australia",9
11049,"Carol C Rai","F","2022-03-09","6064 Madrid","Chula Vista","California","United States",4
11050,"Alan NULL Zheng","M","2020-02-20","2741 Gainborough Dr.","Hobart","Tasmania","Australia",9
11051,"Daniel NULL Johnson","M","2022-12-29","8085 Sunnyvale Avenue","Caloundra","Queensland","Australia",9
11052,"Heidi NULL Lopez","F","2020-02-17","2514 Via Cordona","Matraville","New South Wales","Australia",9
11053,"Ana E Price","F","2022-01-17","1660 Stonyhill Circle","San Diego","California","United States",4
11054,"Deanna NULL Munoz","F","2020-02-03","5825 B Way","Geelong","Victoria","Australia",9
11055,"Gilbert NULL Raje","M","2020-01-31","8811 The Trees Dr.","East Brisbane","Queensland","Australia",9
11056,"Michele L Nath","F","2020-02-26","5464 Janin Pl.","Newcastle","New South Wales","Australia",9
11057,"Carl J Andersen","M","2020-02-22","6930 Lake Nadine Place","Lane Cove","New South Wales","Australia",9
11058,"Marc NULL Diaz","M","2020-03-09","6645 Sinaloa","Findon","South Australia","Australia",9
11059,"Ashlee J Andersen","F","2022-02-18","8255 Highland Road","Townsville","Queensland","Australia",9
11060,"Jon L Zhou","M","2020-03-19","6574 Hemlock Ave.","Warrnambool","Victoria","Australia",9
11061,"Todd M Gao","M","2020-03-13","8808 Geneva Ave","Gold Coast","Queensland","Australia",9
11062,"Noah D Powell","M","2022-01-07","9794 Marion Ct","Portland","Oregon","United States",1
11063,"Angela NULL Murphy","F","2022-01-12","4927 Virgil Street","Redmond","Washington","United States",1
11064,"Chase NULL Reed","M","2022-01-25","2721 Alexander Pl.","Downey","California","United States",4
11065,"Jessica NULL Henderson","F","2022-02-10","9343 Ironwood Way","La Jolla","California","United States",4
11066,"Grace T Butler","F","2022-05-31","4739 Garden Ave.","Lebanon","Oregon","United States",1
11067,"Caleb F Carter","M","2022-08-18","9563 Pennsylvania Blvd.","Port Orchard","Washington","United States",1
11068,"Tiffany NULL Liang","F","2022-04-30","3608 Sinclair Avenue","Warrnambool","Victoria","Australia",9
11069,"Carolyn NULL Navarro","F","2020-04-17","4606 Springwood Court","Gold Coast","Queensland","Australia",9
11070,"Willie T Raji","M","2020-04-28","6260 Vernal Drive","Sunbury","Victoria","Australia",9
11071,"Linda NULL Serrano","F","2022-03-01","9808 Shaw Rd.","Hawthorne","Queensland","Australia",9
11072,"Casey NULL Luo","F","2020-03-31","9513 Roslyn Drive","St. Leonards","New South Wales","Australia",9
11073,"Amy NULL Ye","F","2022-03-23","2262 Kirkwood Ct.","Springwood","New South Wales","Australia",9
11074,"Levi A Arun","M","2022-03-23","4661 Bluetail","Cloverdale","South Australia","Australia",9
11075,"Felicia L Jimenez","F","2020-04-28","786 Eastgate Ave","Bendigo","Victoria","Australia",9
11076,"Blake NULL Anderson","M","2020-04-21","5436 Clear","Wollongong","New South Wales","Australia",9
11077,"Leah NULL Ye","F","2020-04-15","1291 Arguello Blvd.","Melton","Victoria","Australia",9
11078,"Gina E Martin","F","2022-02-15","1349 Sol St.","Cliffside","British Columbia","Canada",6
11079,"Donald NULL Gonzalez","M","2022-03-15","4236 Malibu Place","Geelong","Victoria","Australia",9
11080,"Damien NULL Chander","M","2020-04-10","9941 Stonehedge Dr.","Perth","South Australia","Australia",9
11081,"Savannah C Baker","F","2022-02-12","1210 Trafalgar Circle","Concord","California","United States",4
11082,"Angela L Butler","F","2022-01-22","6040 Listing Ct","Fremont","California","United States",4
11083,"Alyssa F Cox","F","2022-01-06","867 La Orinda Place","Lincoln Acres","California","United States",4
11084,"Lucas NULL Phillips","M","2022-01-04","8668 St. Celestine Court","Lebanon","Oregon","United States",1
11085,"Emily NULL Johnson","F","2022-12-06","7926 Stephanie Way","Newport Beach","California","United States",4
11086,"Ryan NULL Brown","M","2022-07-02","2939 Wesley Ct.","Santa Monica","California","United States",4
11087,"Tamara L Liang","F","2022-02-25","3791 Rossmor Parkway","Chula Vista","California","United States",4
11088,"Hunter NULL Davis","M","2022-01-13","4308 Sand Pointe Lane","San Diego","California","United States",4
11089,"Abigail M Price","F","2021-12-29","2685 Blackburn Ct","Long Beach","California","United States",4
11090,"Trevor NULL Bryant","M","2020-08-07","5781 Sharon Dr.","Los Angeles","California","United States",4
11091,"Dalton NULL Perez","M","2022-01-29","6083 San Jose","Haney","British Columbia","Canada",6
11092,"Cheryl A Diaz","F","2020-04-08","7297 Kaywood Drive","East Brisbane","Queensland","Australia",9
11093,"Aimee A He","F","2020-04-07","1833 Olympic Drive","Wollongong","New South Wales","Australia",9
11094,"Cedric W Ma","M","2022-04-07","3407 Oak Brook Place","Cranbourne","Victoria","Australia",9
11095,"Chad NULL Kumar","M","2020-04-01","1681 Lighthouse Way","Port Macquarie","New South Wales","Australia",9
11096,"Andrés NULL Anand","M","2020-04-11","5423 Los Gatos Ct.","North Sydney","New South Wales","Australia",9
11097,"Edwin R Nara","M","2020-04-04","719 William Way","Warrnambool","Victoria","Australia",9
11098,"Mallory S Rubio","F","2022-02-11","6452 Harris Circle","Rhodes","New South Wales","Australia",9
11099,"Adam NULL Ross","M","2020-04-07","4378 Westminster Place","Port Macquarie","New South Wales","Australia",9
11100,"Latasha L Navarro","F","2020-04-16","6954 Ranch Road","Cloverdale","South Australia","Australia",9
11101,"Abby L Sai","F","2020-04-29","7074 N. Spoonwood Court","Cranbourne","Victoria","Australia",9
11102,"Julia L Nelson","F","2022-07-16","2196 Coat Ct.","Sydney","New South Wales","Australia",9
11103,"Cassie NULL Chande","F","2020-04-15","9448 San Marino Ct.","Darlinghurst","New South Wales","Australia",9
11104,"Edgar A Sara","M","2020-05-04","6127 Lilly Lane","Gold Coast","Queensland","Australia",9
11105,"Candace NULL Fernandez","F","2020-05-14","5029 Blue Ridge","Matraville","New South Wales","Australia",9
11106,"Jessie NULL Liu","M","2020-05-18","3063 Blue Jay Drive","Warrnambool","Victoria","Australia",9
11107,"Bianca NULL Lin","F","2020-05-01","7530 Eola","St. Leonards","New South Wales","Australia",9
11108,"Kari C Alvarez","F","2020-05-03","9178 Thornhill Place","Port Macquarie","New South Wales","Australia",9
11109,"Ruben D Kapoor","M","2020-05-10","1984 Glendale Circle","South Melbourne","Victoria","Australia",9
11110,"Curtis NULL Yang","M","2020-05-01","4052 Mt. Wilson Way","Darlinghurst","New South Wales","Australia",9
11111,"Meredith T Gutierrez","F","2020-05-20","7610 Northridge Ct.","Geelong","Victoria","Australia",9
11112,"Crystal C Wang","F","2020-05-25","2773 Kirkwood Dr","Hervey Bay","Queensland","Australia",9
11113,"Micheal A Blanco","M","2022-02-01","596 Marfargoa Drive","Perth","South Australia","Australia",9
11114,"Leslie C Moreno","F","2022-03-18","7941 Cristobal","Rhodes","New South Wales","Australia",9
11115,"Alvin D Cai","M","2022-02-10","7759 Azalea Avenue","St. Leonards","New South Wales","Australia",9
11116,"Clinton E Carlson","M","2022-03-15","7943 Cunha Ct.","Sydney","New South Wales","Australia",9
11117,"April NULL Deng","F","2020-05-06","485 Ash Lane","Matraville","New South Wales","Australia",9
11118,"Alvin M Zeng","M","2022-07-10","3853 Wildcat Circle","Lavender Bay","New South Wales","Australia",9
11119,"Evan V James","M","2022-02-03","4157 Sierra Ridge","Port Macquarie","New South Wales","Australia",9
11120,"Beth H Jiménez","F","2020-05-14","7401 Las Palmas","Sydney","New South Wales","Australia",9
11121,"Orlando NULL Suarez","M","2022-06-24","7743 Hames Dr","Newcastle","New South Wales","Australia",9
11122,"Byron NULL Vazquez","M","2022-02-21","3187 Hackamore Lane","North Sydney","New South Wales","Australia",9
11123,"Philip A Alvarez","M","2022-04-17","2775 Mt. Olivet Pl.","Sunbury","Victoria","Australia",9
11124,"Ross F Jordan","M","2020-05-05","6973 Dublin Court","Warrnambool","Victoria","Australia",9
11125,"Dana J Navarro","F","2022-01-31","8481 Zartop Street","Seaford","Victoria","Australia",9
11126,"Shaun NULL Carson","M","2020-05-28","57 Wolf Way","North Ryde","New South Wales","Australia",9
11127,"Jan NULL Edwards","F","2022-04-10","9409 The Alameda","San Gabriel","California","United States",4
11128,"Samantha NULL Long","F","2022-06-19","1606 Alderwood Lane","Renton","Washington","United States",1
11129,"Julia M Wright","F","2020-08-06","7397 Central Blvd.","Sedro Woolley","Washington","United States",1
11130,"Caroline L Russell","F","2022-12-09","3884 Bates Court","Lebanon","Oregon","United States",1
11131,"Amanda NULL Rivera","F","2022-10-18","9573 Royal Oak Rd.","Haney","British Columbia","Canada",6
11132,"Melissa E Richardson","F","2022-04-09","6832 Fruitwood Dr","Langford","British Columbia","Canada",6
11133,"Angela NULL Griffin","F","2022-12-30","3828 Baltic Sea Ct","Lake Oswego","Oregon","United States",1
11134,"Larry D Townsend","M","2020-05-03","7034 Carson","Perth","South Australia","Australia",9
11135,"Marcus L Harris","M","2022-04-18","9068 Quiet Place Drive","Burlingame","California","United States",4
11136,"Brianna D Morgan","F","2022-01-03","9005 Eagle Ct.","Metchosin","British Columbia","Canada",6
11137,"Jasmine A Taylor","F","2022-07-31","2457 Matterhorn Court","Spokane","Washington","United States",1
11138,"Lauren NULL Davis","F","2022-09-19","8105 Pembrook Court","Glendale","California","United States",4
11139,"Tanya NULL Moreno","F","2022-09-14","6155 Wilbur Drive","Cloverdale","South Australia","Australia",9
11140,"Javier L Alvarez","M","2022-03-19","8935 Etcheverry Dr.","Burbank","California","United States",4
11141,"Nicole NULL Ramirez","F","2022-05-16","1101 C Street","Daly City","California","United States",4
11142,"Eduardo NULL Patterson","M","2022-02-13","6255 Macalvey Dr.","Langford","British Columbia","Canada",6
11143,"Jonathan M Henderson","M","2022-06-15","165 East Lane Road","Lakewood","California","United States",4
11144,"Edward NULL Hernandez","M","2022-01-25","7607 Pine Hollow Road","Ballard","Washington","United States",1
11145,"Jasmine L Coleman","F","2022-01-25","1961 Oak Grove Road","Beaverton","Oregon","United States",1
11146,"Karla L Goel","F","2022-02-05","3272 Corrie Lane","Matraville","New South Wales","Australia",9
11147,"Ernest L Wu","M","2020-05-13","1832 RiverRock Dr","Warrnambool","Victoria","Australia",9
11148,"Ross NULL Vazquez","M","2022-03-07","1201 Paso Del Rio Way","East Brisbane","Queensland","Australia",9
11149,"Theodore NULL Gill","M","2022-06-04","9120 Pinewood Court","Hervey Bay","Queensland","Australia",9
11150,"Russell M Shen","M","2022-03-27","4755 Easley Drive","Sunbury","Victoria","Australia",9
11151,"Melinda G Gill","F","2020-05-15","805 Rainier Dr.","Sydney","New South Wales","Australia",9
11152,"James J Williams","M","2022-01-09","6827 Seagull Court","Puyallup","Washington","United States",1
11153,"Angela R James","F","2022-03-29","8877 Weatherly Drive","Renton","Washington","United States",1
11154,"Megan G Walker","F","2022-01-10","6898 Holiday Hills","Woodburn","Oregon","United States",1
11155,"Hunter J Robinson","M","2022-01-06","8356 Mori Court","Burbank","California","United States",4
11156,"Maria NULL Roberts","F","2022-01-08","9452 Mariposa Ct.","Lakewood","California","United States",4
11157,"Hannah E Long","F","2022-07-24","1832 Preston Ct.","Tacoma","Washington","United States",1
11158,"Jason K Wright","M","2022-01-19","6771 Bundros Court","San Gabriel","California","United States",4
11159,"Brianna A Hughes","F","2022-09-08","6793 Bonifacio St.","Woodland Hills","California","United States",4
11160,"Maurice M Tang","M","2022-02-21","2886 Chaparral Court","Concord","California","United States",4
11161,"Emily NULL Wood","F","2022-06-01","1562 Black Walnut","Concord","California","United States",4
11162,"Chase NULL Cox","M","2022-02-18","P.O. Box 8070","La Jolla","California","United States",4
11163,"Gabriel NULL Wang","M","2022-05-01","8002 Crane Court","Spring Valley","California","United States",4
11164,"Devin NULL Brooks","M","2022-04-27","4231 Highland Dr.","Torrance","California","United States",4
11165,"Jocelyn NULL Alexander","F","2022-05-25","3376 Bank Way","Oakland","California","United States",4
11166,"Ashley NULL Martinez","F","2022-10-14","6993 Whyte Park Ave.","Olympia","Washington","United States",1
11167,"Jasmine J Barnes","F","2022-01-07","9183 Via Del Sol","Issaquah","Washington","United States",1
11168,"David NULL Rodriguez","M","2022-01-15","38 Shangri-la Rd.","Oakland","California","United States",4
11169,"Bryce NULL Richardson","M","2022-05-26","1841 Blackwood Drive","Coronado","California","United States",4
11170,"Carol T Howard","F","2022-08-26","6281 Edward Ave","Burien","Washington","United States",1
11171,"Jonathan E Hill","M","2020-08-20","3731 Chinquapin Ct","Woodland Hills","California","United States",4
11172,"Gabrielle J Adams","F","2022-05-03","5621 Arcadia Pl.","Lynnwood","Washington","United States",1
11173,"Sarah F Thomas","F","2022-03-02","5636 Mt. Whitney Dr.","W. Linn","Oregon","United States",1
11174,"Nicholas NULL Robinson","M","2022-07-13","1318 Lasalle Street","Los Angeles","California","United States",4
11175,"Luis NULL Wang","M","2020-08-28","6943 Patterson Blvd.","Beverly Hills","California","United States",4
11176,"Mason D Roberts","M","2022-02-02","5753 Megan Dr.","Haney","British Columbia","Canada",6
11177,"Jose M Flores","M","2022-03-29","3991 Rambling Rose Drive","San Diego","California","United States",4
11178,"Nathan J Johnson","M","2022-02-21","8927 Daylight Place","Lakewood","California","United States",4
11179,"Molly E Rodriguez","F","2022-03-12","5556 Riverland Dr.","Beverly Hills","California","United States",4
11180,"April NULL Anand","F","2022-03-17","3531 Brookview Drive","Chula Vista","California","United States",4
11181,"Devin P Martin","M","2022-05-07","1085 Greenbelt Way","Los Angeles","California","United States",4
11182,"Stephanie NULL Torres","F","2022-08-28","6968 Mildred Ln.","Sedro Woolley","Washington","United States",1
11183,"Jasmine W Lee","F","2022-04-30","7502 Contuti Avenue","Santa Cruz","California","United States",4
11184,"Meghan NULL Hernandez","F","2022-08-10","5872 L St.","Concord","California","United States",4
11185,"Ashley NULL Henderson","F","2022-02-21","8834 San Jose Ave.","Metchosin","British Columbia","Canada",6
11186,"Sarah C Price","F","2022-10-18","4815 Paraiso Ct.","Palo Alto","California","United States",4
11187,"Jennifer S Cooper","F","2022-04-03","2429 Longview Road","Burien","Washington","United States",1
11188,"Catherine NULL Morris","F","2022-11-01","6542 Stonewood Drive","San Gabriel","California","United States",4
11189,"Lawrence W Blanco","M","2020-08-26","7502 Contuti Avenue","Bellingham","Washington","United States",1
11190,"Carson NULL Bryant","M","2022-08-28","2995 Youngsdale Dr.","Beverly Hills","California","United States",4
11191,"Kristi E Perez","F","2020-08-11","1769 Lislin Ct","Colma","California","United States",4
11192,"James C Brown","M","2022-06-23","673 Old Mountain View Dr.","Seattle","Washington","United States",1
11193,"Ian A Gray","M","2022-02-25","5941 Gill Dr.","Woodburn","Oregon","United States",1
11194,"Jacqueline R Price","F","2022-03-13","872 Mark Twain Dr","Palo Alto","California","United States",4
11195,"Megan NULL Henderson","F","2022-04-14","8411 Mt. Olivet Place","Renton","Washington","United States",1
11196,"Alfredo NULL Romero","M","2022-03-03","2499 Greendell Pl","Beaverton","Oregon","United States",1
11197,"Andrea NULL Morris","F","2022-05-02","1883 Green View Court","Seattle","Washington","United States",1
11198,"Brooke NULL Sanders","F","2022-02-05","5192 Dumbarton Drive","Santa Cruz","California","United States",4
11199,"Jacqueline NULL Bennett","F","2022-03-18","8948 Chinquapin Court","Burlingame","California","United States",4
11200,"Jason L Griffin","M","2022-02-07","7239 Nicholas Drive","Victoria","British Columbia","Canada",6
11201,"Amanda NULL Foster","F","2022-07-01","3984 San Francisco","Santa Monica","California","United States",4
11202,"Alexia L Price","F","2022-09-15","2079 Wellington Ct","Lakewood","California","United States",4
11203,"Luis D Diaz","M","2022-02-20","3682 Diablo View Road","Port Hammond","British Columbia","Canada",6
11204,"Destiny C Rivera","F","2022-08-09","6965 Appalachian Drive","Beaverton","Oregon","United States",1
11205,"Abby NULL Fernandez","F","2022-07-27","8330 Glenside Court","Burien","Washington","United States",1
11206,"Blake NULL Flores","M","2022-05-11","9410 Ferry St.","Lynnwood","Washington","United States",1
11207,"Danielle NULL Cox","F","2022-01-31","2346 Wren Ave","Renton","Washington","United States",1
11208,"Maria NULL Reed","F","2022-03-04","1413 Bridgeview St","Glendale","California","United States",4
11209,"Allison NULL Evans","F","2022-03-25","3515 Sutton Circle","Lincoln Acres","California","United States",4
11210,"Edward J Wood","M","2022-05-06","1039 Adelaide St.","West Covina","California","United States",4
11211,"Samantha NULL Russell","F","2022-02-01","9256 Village Oaks Dr.","Haney","British Columbia","Canada",6
11212,"Chloe NULL Campbell","F","2022-01-30","3562 East Ave.","Metchosin","British Columbia","Canada",6
11213,"Stephanie B Murphy","F","2022-03-28","5514 Grant Street","Edmonds","Washington","United States",1
11214,"Charles O Miller","M","2022-08-14","2719 Little Dr","Milwaukie","Oregon","United States",1
11215,"Ana NULL Perry","F","2022-02-15","3114 Arlington Way","Royal Oak","British Columbia","Canada",6
11216,"Jasmine A Torres","F","2020-08-15","8328 San Francisco","Portland","Oregon","United States",1
11217,"Natalie P Adams","F","2020-08-10","6592 Bent Tree Lane","Portland","Oregon","United States",1
11218,"Olivia NULL Brown","F","2022-02-28","3964 Stony Hill Circle","Tacoma","Washington","United States",1
11219,"Charles NULL Cook","M","2022-10-29","6871 Bel Air Dr.","Woodburn","Oregon","United States",1
11220,"Erica C Huang","F","2022-03-14","9142 All Ways Drive","Colma","California","United States",4
11221,"Nathan NULL Perry","M","2022-04-07","9714 Nicholas Drive","Lakewood","California","United States",4
11222,"Alexandra NULL Rivera","F","2022-11-01","4999 Corte Segunda","Santa Monica","California","United States",4
11223,"Hailey I Patterson","F","2022-01-29","5045 Vancouver Way","Langley","British Columbia","Canada",6
11224,"Tiffany J Li","F","2020-08-07","6404 Del Mar Ave","Burien","Washington","United States",1
11225,"Madison D Lee","F","2022-06-22","5927 Seaview Avenue","Renton","Washington","United States",1
11226,"Sydney T Ross","F","2022-02-21","5252 Santa Fe","W. Linn","Oregon","United States",1
11227,"Marshall D Chavez","M","2020-08-03","9022 Estudillo Street","Colma","California","United States",4
11228,"Ashley R Jones","F","2022-10-25","7681 Willow Pass Road","El Cajon","California","United States",4
11229,"Adrian C Stewart","M","2022-07-27","6898 Shaw Rd.","Redwood City","California","United States",4
11230,"Amber NULL Turner","F","2022-07-16","6345 Ridge Circle","Santa Monica","California","United States",4
11231,"Dennis NULL Zhang","M","2022-02-10","3951 Calle Verde Drive","Bremerton","Washington","United States",1
11232,"Hailey R Bryant","F","2022-09-20","2828 Rogers Ave.","Everett","Washington","United States",1
11233,"Todd NULL Li","M","2022-02-08","5897 Scottsdale Rd.","Berkeley","California","United States",4
11234,"Anna NULL Griffin","F","2022-02-08","7221 Peachwillow Street","Long Beach","California","United States",4
11235,"Angel J Stewart","M","2022-07-04","2585 La Salle Ct.","Ballard","Washington","United States",1
11236,"Jeremy NULL Butler","M","2022-10-03","8811 The Trees Dr.","Bellingham","Washington","United States",1
11237,"Clarence M Anand","M","2020-09-05","Welt Platz 6","Solingen","Nordrhein-Westfalen","Germany",8
11238,"Mayra NULL Prasad","F","2020-01-06","1119 Elderwood Dr.","Birmingham","England","United Kingdom",10
11239,"Latoya C Goel","F","2020-01-19","8154 Pheasant Circle","London","England","United Kingdom",10
11240,"Anne B Hernandez","F","2020-02-27","76 Woodcrest Dr.","Watford","England","United Kingdom",10
11241,"Lisa NULL Cai","F","2021-09-10","102, rue de Berri","Les Ulis","Essonne","France",7
11242,"Larry NULL Munoz","M","2021-09-19","Midi-Couleurs","Versailles","Yveline","France",7
11243,"Robin V Alvarez","F","2020-02-21","4086 Emmons Canyon Lane","Esher-Molesey","England","United Kingdom",10
11244,"Alexis M Coleman","F","2020-02-12","7140 Camelback Road","Runcorn","England","United Kingdom",10
11245,"Ricky D Vazquez","M","2020-09-26","Roßstr 9928","Hamburg","Hessen","Germany",8
11246,"Latasha NULL Rubio","F","2020-10-03","Alderstr 7690","Hamburg","Hamburg","Germany",8
11247,"Claudia M Zhou","F","2020-02-18","6516 Beauer Lane","Lancaster","England","United Kingdom",10
11248,"Tristan P Alexander","M","2022-07-14","88, avenue des Champs-Elysées","Saint-Denis","Seine Saint Denis","France",7
11249,"Cindy A Patel","F","2020-10-09","Essener Straße 123","Sulzbach Taunus","Saarland","Germany",8
11250,"Shannon D Liu","F","2020-03-17","4185 Keywood Ct.","Woolston","England","United Kingdom",10
11251,"Xavier NULL Long","M","2022-10-18","9245 Dantley Way","Haney","British Columbia","Canada",6
11252,"Nicholas D Thompson","M","2020-08-14","504 O St.","Lemon Grove","California","United States",4
11253,"José M Hernandez","M","2022-03-01","5703 Donald Dr.","Victoria","British Columbia","Canada",6
11254,"Johnathan W Vance","M","2022-11-23","9430 Versailles Pl","Burien","Washington","United States",1
11255,"Colin NULL Lin","M","2022-02-23","6083 San Jose","Burien","Washington","United States",1
11256,"Katelyn L Hernandez","F","2022-04-15","7496 Deerfield Dr.","Lynnwood","Washington","United States",1
11257,"Jacqueline NULL Powell","F","2020-08-24","4076 Northwood Dr","Newport Beach","California","United States",4
11258,"Xavier NULL Hill","M","2022-05-21","2707 Virgil Street","Palo Alto","California","United States",4
11259,"Victoria C Stewart","F","2020-09-04","3623 Barquentine Court","Salem","Oregon","United States",1
11260,"Katelyn L Kelly","F","2022-02-05","7085 Solano Drive","Burlingame","California","United States",4
11261,"Stephanie NULL Collins","F","2020-09-27","2868 Central Avenue","San Diego","California","United States",4
11262,"Jennifer NULL Simmons","F","2022-02-27","7959 Mt. Wilson Way","Port Hammond","British Columbia","Canada",6
11263,"Trinity NULL Richardson","F","2020-08-29","3063 Blue Jay Drive","Burien","Washington","United States",1
11264,"Eduardo NULL Martin","M","2022-01-02","5137 Pheasant Court","Issaquah","Washington","United States",1
11265,"Elizabeth P Jones","F","2022-01-03","2253 Firestone Dr.","Kirkland","Washington","United States",1
11266,"Taylor NULL Howard","F","2020-09-10","7396 Stratton Circle","Port Orchard","Washington","United States",1
11267,"David NULL Diaz","M","2020-09-17","2075 Browse Ct","Burlingame","California","United States",4
11268,"Katelyn A Carter","F","2022-05-29","3050 Monte Cresta Avenue","Coronado","California","United States",4
11269,"Ryan W Foster","M","2022-08-22","5376 Sahara Drive","Daly City","California","United States",4
11270,"Robert L Lee","M","2020-09-10","5461 Camino Verde Ct.","Lakewood","California","United States",4
11271,"Danielle C Reed","F","2020-09-27","6683 Carrick Ct","San Francisco","California","United States",4
11272,"Lauren L Martinez","F","2020-09-19","4357 Tosca Way","Beverly Hills","California","United States",4
11273,"Nathan E Lal","M","2022-05-14","7064 Cypress Ave","La Jolla","California","United States",4
11274,"Kyle M Foster","M","2020-08-29","5617 Landing Dr","Bellingham","Washington","United States",1
11275,"Jenny D Rai","F","2020-08-30","1440 Willow Pass Dr.","Colma","California","United States",4
11276,"Nancy E Chapman","F","2022-01-29","1480 Shoenic","Cliffside","British Columbia","Canada",6
11277,"Charles P Jackson","M","2022-02-02","3400 Folson Drive","Royal Oak","British Columbia","Canada",6
